file_name,relative_path,source_collection,file_size_bytes,file_size_mib,modified_time,sha256,possible_year_from_filename,possible_title_from_filename
顾及Vis-NIR光谱指数时序统计特征的红层荒漠化场景分类_陈震.pdf,docs/literature/pdfs/package_2000_2026/顾及Vis-NIR光谱指数时序统计特征的红层荒漠化场景分类_陈震.pdf,package_2000_2026,2600642,2.480,2026-07-07T15:22:08,b1c4a8dcba06b3d03dc9082842b713be2f6c4c06f71929d964954c365a65fd42,,顾及Vis NIR光谱指数时序统计特征的红层荒漠化场景分类 陈震
1-s2.0-S1574954125002134-main.pdf,docs/literature/pdfs/package_2021_2026/1-s2.0-S1574954125002134-main.pdf,package_2021_2026,24541120,23.404,2026-07-07T14:40:28,ce23c61e734fca3d7f8c7ce9a13b5605b75ddcc3c77f0a75edbd9f7670ed8325,,1 s2.0 S1574954125002134 main
1-s2.0-S2307410825000665-main.pdf,docs/literature/pdfs/package_2021_2026/1-s2.0-S2307410825000665-main.pdf,package_2021_2026,11312948,10.789,2026-07-07T14:40:53,bad81fb4b677d15446a62dec3a94341aac5bf94f954c19557ad21bd2235fad58,,1 s2.0 S2307410825000665 main
A novel-optimal monitoring index of rocky desertification based on feature space model and red edge indices that derived from sentinel-2 MSI image.pdf,docs/literature/pdfs/package_2021_2026/A novel-optimal monitoring index of rocky desertification based on feature space model and red edge indices that derived from sentinel-2 MSI image.pdf,package_2021_2026,5791287,5.523,2026-07-07T14:41:06,65e4e0d29bbf2747ecdb99a6c46bbd099b31cbdc542a51bddafaaac869e18ca0,,A novel optimal monitoring index of rocky desertification based on feature space model and red edge indices that derived from sentinel 2 MSI image
CN02_DeepLabV3.pdf,docs/literature/pdfs/package_2021_2026/CN02_DeepLabV3.pdf,package_2021_2026,2010807,1.918,2026-07-07T13:53:05,8ae9b36df238e7ed46ebc8a71faca0c088ef76d5e9fbd906a7b8b380f6a2e0df,,CN02 DeepLabV3
CN03_Vis-NIR.pdf,docs/literature/pdfs/package_2021_2026/CN03_Vis-NIR.pdf,package_2021_2026,2694368,2.570,2026-07-07T13:51:34,a11b54e9cfd286c2ed7fdb7b3c28290ea75d1e7ba20d017202a47fdf51334ddb,,CN03 Vis NIR
CN04_GEE_KRD_spatiotemporal_evolution.pdf,docs/literature/pdfs/package_2021_2026/CN04_GEE_KRD_spatiotemporal_evolution.pdf,package_2021_2026,1326106,1.265,2026-07-07T13:53:56,68fa9d39935262aa056e0b4e6f71231e1e477faad5959ea7dbc8ba6797589d71,,CN04 GEE KRD spatiotemporal evolution
Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,docs/literature/pdfs/package_2021_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,package_2021_2026,2737173,2.610,2026-07-07T14:41:18,1883c42d45d708ad1283a50c9bd85828e8773425a25b7221f026931bc18d4045,,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel 2 images and KNDVI
EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf,docs/literature/pdfs/package_2021_2026/EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf,package_2021_2026,5877176,5.605,2026-07-07T13:52:19,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,,EN01 Extracting Information on Rocky Desertification from Satellite Images A Comparative Study
EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf,docs/literature/pdfs/package_2021_2026/EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf,package_2021_2026,15124277,14.424,2026-07-07T13:52:21,a694a3d72eef12ba5ca3f4a31823394d65247c8c30193a8a191c9383fcab205a,,EN02 Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Se
EN03_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Prediction_of_Rocky_Desertification_.pdf,docs/literature/pdfs/package_2021_2026/EN03_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Prediction_of_Rocky_Desertification_.pdf,package_2021_2026,25235475,24.066,2026-07-07T13:52:24,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,,EN03 Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification
EN04_Extraction_of_rocky_desertification_information_in_karst_area_by_using_different_multispec.pdf,docs/literature/pdfs/package_2021_2026/EN04_Extraction_of_rocky_desertification_information_in_karst_area_by_using_different_multispec.pdf,package_2021_2026,9233448,8.806,2026-07-07T13:49:52,ff8ae8e9ea3e571026bcbaef938c2aa45dc05a172ac25f4ac8f9019f1754d7c5,,EN04 Extraction of rocky desertification information in karst area by using different multispec
EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,docs/literature/pdfs/package_2021_2026/EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,package_2021_2026,13013764,12.411,2026-07-07T13:52:28,9bd8b9d5e158b0a65da39d6f5203291343f25f549c63eede806e7704c44cb11f,,EN05 Machine learning algorithm for estimating karst rocky desertification in a peak cluster de
EN06_Monitoring_and_Classification_of_Karst_Rocky_Desertification_with_Landsat.pdf,docs/literature/pdfs/package_2021_2026/EN06_Monitoring_and_Classification_of_Karst_Rocky_Desertification_with_Landsat.pdf,package_2021_2026,1137782,1.085,2026-07-07T13:54:06,3713d3038c949dd9627428fe0ff78b3e07511523c5b8ad089ac8c0402c5c2bf7,,EN06 Monitoring and Classification of Karst Rocky Desertification with Landsat
EN08_Classification_of_Karst_Rocky_Desertification_Levels_in_Jinsha_County_Using_a_Feature_Spac.pdf,docs/literature/pdfs/package_2021_2026/EN08_Classification_of_Karst_Rocky_Desertification_Levels_in_Jinsha_County_Using_a_Feature_Spac.pdf,package_2021_2026,1354412,1.292,2026-07-07T13:52:36,34e1fd60144a0f3b35f1ff5aab06b56368e55979f6b7aa3815601d37bc8275cc,,EN08 Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Spac
EN12_Spatio-Temporal_Evolution_Characteristics_and_Driving_Factors_of_Karst_Rocky_Desertificati.pdf,docs/literature/pdfs/package_2021_2026/EN12_Spatio-Temporal_Evolution_Characteristics_and_Driving_Factors_of_Karst_Rocky_Desertificati.pdf,package_2021_2026,4050295,3.863,2026-07-07T13:52:43,39519ef13c34206476c7a17f972588aad61953788b9f5b8b0b62571b3dc6fab9,,EN12 Spatio Temporal Evolution Characteristics and Driving Factors of Karst Rocky Desertificati
EN13_Spatiotemporal_evolution_of_karst_rocky_desertification_and_its_driving_factors_in_southwe.pdf,docs/literature/pdfs/package_2021_2026/EN13_Spatiotemporal_evolution_of_karst_rocky_desertification_and_its_driving_factors_in_southwe.pdf,package_2021_2026,6323052,6.030,2026-07-07T13:52:50,fd34f04fa4ca4a5f56866cf7a72471402df8842db92eff85f96a47d1476ac7db,,EN13 Spatiotemporal evolution of karst rocky desertification and its driving factors in southwe
EN14_Spatiotemporal_Dynamics_of_Rocky_Desertification_in_the_Danjiangkou_Reservoir_Area.pdf,docs/literature/pdfs/package_2021_2026/EN14_Spatiotemporal_Dynamics_of_Rocky_Desertification_in_the_Danjiangkou_Reservoir_Area.pdf,package_2021_2026,1677932,1.600,2026-07-07T13:52:53,6c3e3240ce20618e67b09fe38459b2c8d05379a09b8847fdbb1c9ba0c6609f9c,,EN14 Spatiotemporal Dynamics of Rocky Desertification in the Danjiangkou Reservoir Area
EN15_Classification_of_rocky_desertification_degrees_and_spatiotemporal_distribution_patterns_u.pdf,docs/literature/pdfs/package_2021_2026/EN15_Classification_of_rocky_desertification_degrees_and_spatiotemporal_distribution_patterns_u.pdf,package_2021_2026,6765982,6.453,2026-07-07T13:50:31,7061d41f234761352bfd6ab9ba7dc3f090ae45cbebadd35dac167657c5063a71,,EN15 Classification of rocky desertification degrees and spatiotemporal distribution patterns u
EN17_RAP-Net_A_Region_Affinity_Propagation-Guided_Semantic_Segmentation_Network_for_Plateau_Kar.pdf,docs/literature/pdfs/package_2021_2026/EN17_RAP-Net_A_Region_Affinity_Propagation-Guided_Semantic_Segmentation_Network_for_Plateau_Kar.pdf,package_2021_2026,11761671,11.217,2026-07-07T13:52:56,fa4ee5a793fb01bdf7f78616449b127c5859851d71f185b208fb5fd9e954b420,,EN17 RAP Net A Region Affinity Propagation Guided Semantic Segmentation Network for Plateau Kar
EN18_Fine-Grained_Land_Use_Remote_Sensing_Mapping_in_Karst_Mountain_Areas_Using_Very_High_Resol.pdf,docs/literature/pdfs/package_2021_2026/EN18_Fine-Grained_Land_Use_Remote_Sensing_Mapping_in_Karst_Mountain_Areas_Using_Very_High_Resol.pdf,package_2021_2026,11425343,10.896,2026-07-07T13:53:13,99a1e433f2aa24605b9cea3ae9ebb9cdf5e3e7a4e748b9a33d8398c20971cd21,,EN18 Fine Grained Land Use Remote Sensing Mapping in Karst Mountain Areas Using Very High Resol
main.pdf,docs/literature/pdfs/package_2021_2026/main.pdf,package_2021_2026,14289615,13.628,2026-07-07T14:40:35,0083dce0f23e59b48bcba48f0fd49be76d2991991f12328883567c8f6c1d5313,,main
基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究_徐瑞.pdf,docs/literature/pdfs/package_2021_2026/基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究_徐瑞.pdf,package_2021_2026,5500336,5.246,2026-07-07T15:19:47,a909c057eb10db926a42ba5f27f2461f27f22d4bc6cc9436aa9ec36fdebc5256,,基于多时相Sentinel 2遥感数据的石漠化程度识别方法研究 徐瑞
石漠化遥感信息提取方法进展.pdf,docs/literature/pdfs/package_2021_2026/石漠化遥感信息提取方法进展.pdf,package_2021_2026,519325,0.495,2026-07-07T14:42:46,67bc22111b1acda58d50bf9978b67c460d86c0ab6eb6ba0f92f6288142c718ff,,石漠化遥感信息提取方法进展
遥感植被指数增强石漠化信息研究.pdf,docs/literature/pdfs/package_2021_2026/遥感植被指数增强石漠化信息研究.pdf,package_2021_2026,2300776,2.194,2026-07-07T14:43:13,df263acc72b22858c607ad6ac0d086bf8063b4b64c510d33b3b873ce933386b3,,遥感植被指数增强石漠化信息研究
2014_RemoteSens_6_9895_Is_Forest_Restoration_in_the_Southwest_China_Karst_Promoted_.pdf,docs/literature/pdfs/remote_sensing_only/2014_RemoteSens_6_9895_Is_Forest_Restoration_in_the_Southwest_China_Karst_Promoted_.pdf,remote_sensing_only,5684883,5.422,2026-07-07T13:35:19,df2115acc6afe47c8d856b3ab2d9d6e95ade4b469eda32a3d5c0647693b97575,2014,2014 RemoteSens 6 9895 Is Forest Restoration in the Southwest China Karst Promoted
2016_RemoteSens_8_68_Quantitative_Estimation_of_Carbonate_Rock_Fraction_in_Karst_.pdf,docs/literature/pdfs/remote_sensing_only/2016_RemoteSens_8_68_Quantitative_Estimation_of_Carbonate_Rock_Fraction_in_Karst_.pdf,remote_sensing_only,3794738,3.619,2026-07-07T13:35:17,0040564bb81c343fc0f817eed08cc9b233c597b3200c72dac9d4948d2d9b2128,2016,2016 RemoteSens 8 68 Quantitative Estimation of Carbonate Rock Fraction in Karst
2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,docs/literature/pdfs/remote_sensing_only/2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,remote_sensing_only,21052264,20.077,2026-07-07T13:35:14,c7b343af86ddb10472183d14bddde33e03128d2b8147f5128aa417d1447ca912,2018,2018 RemoteSens 10 1321 Analysis of Landsat 8 OLI Imagery for Estimating Exposed Bed
2021_RemoteSens_13_1614_How_Can_We_Realize_Sustainable_Development_Goals_in_Rocky_De.pdf,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_1614_How_Can_We_Realize_Sustainable_Development_Goals_in_Rocky_De.pdf,remote_sensing_only,17838187,17.012,2026-07-07T13:35:22,db5c5b280a5ee274d4c7c9de9d0da86898b51a2a20ee589b03aa1a50574a9f96,2021,2021 RemoteSens 13 1614 How Can We Realize Sustainable Development Goals in Rocky De
2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,remote_sensing_only,5877176,5.605,2026-07-07T11:59:43,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,2021,2021 RemoteSens 13 2497 Pu Extracting Information Rocky Desertification
2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,remote_sensing_only,15124277,14.424,2026-07-07T13:34:58,a694a3d72eef12ba5ca3f4a31823394d65247c8c30193a8a191c9383fcab205a,2021,2021 RemoteSens 13 2935 Optimization of Rocky Desertification Classification Model B
2022_RemoteSens_14_2351_The_Changes_of_Spatiotemporal_Pattern_of_Rocky_Desertificati.pdf,docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_2351_The_Changes_of_Spatiotemporal_Pattern_of_Rocky_Desertificati.pdf,remote_sensing_only,3092367,2.949,2026-07-07T13:35:03,c6a84590b431044e79c55def366877d316fd321d447a97b960f1ea5e68dcc516,2022,2022 RemoteSens 14 2351 The Changes of Spatiotemporal Pattern of Rocky Desertificati
